t # 1
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
v 35 0
v 36 0
v 37 0
v 38 0
v 39 0
v 40 0
v 41 0
v 42 0
v 43 0
v 44 0
v 45 0
v 46 0
v 47 0
v 48 0
v 49 0
v 50 0
v 51 0
v 52 0
v 53 0
v 54 0
v 55 0
v 56 0
v 57 0
v 58 0
v 59 0
v 60 0
v 61 0
e 8 17 0
e 8 19 0
e 9 10 0
e 9 11 0
e 9 12 0
e 9 13 0
e 9 15 0
e 9 16 0
e 9 17 0
e 9 18 0
e 9 19 0
e 9 48 0
e 10 11 0
e 10 12 0
e 10 13 0
e 10 14 0
e 10 15 0
e 10 16 0
e 10 17 0
e 10 18 0
e 10 19 0
e 11 12 0
e 11 13 0
e 11 14 0
e 11 15 0
e 11 18 0
e 11 19 0
e 12 13 0
e 12 14 0
e 12 15 0
e 12 16 0
e 12 17 0
e 12 18 0
e 12 24 0
e 12 52 0
e 13 16 0
e 13 17 0
e 13 18 0
e 13 19 0
e 13 53 0
e 14 15 0
e 14 16 0
e 14 17 0
e 14 19 0
e 14 36 0
e 14 51 0
e 14 57 0
e 15 16 0
e 15 17 0
e 15 18 0
e 15 19 0
e 15 39 0
e 16 18 0
e 16 19 0
e 16 20 0
e 16 26 0
e 16 31 0
e 16 45 0
e 17 18 0
e 17 19 0
e 18 19 0
e 19 32 0
e 20 21 0
e 20 22 0
e 20 23 0
e 20 24 0
e 20 25 0
e 20 26 0
e 20 27 0
e 20 37 0
e 20 61 0
e 21 23 0
e 21 24 0
e 21 25 0
e 21 26 0
e 21 27 0
e 21 33 0
e 22 24 0
e 22 25 0
e 22 26 0
e 22 27 0
e 23 24 0
e 23 26 0
e 23 27 0
e 24 25 0
e 24 26 0
e 25 26 0
e 25 27 0
e 25 31 0
e 26 27 0
e 26 30 0
e 27 44 0
e 27 48 0
e 28 29 0
e 28 31 0
e 28 32 0
e 28 33 0
e 28 34 0
e 28 35 0
e 28 36 0
e 28 38 0
e 28 39 0
e 28 40 0
e 28 41 0
e 28 42 0
e 28 43 0
e 28 44 0
e 28 46 0
e 29 30 0
e 29 31 0
e 29 32 0
e 29 33 0
e 29 34 0
e 29 35 0
e 29 36 0
e 29 37 0
e 29 38 0
e 29 39 0
e 29 40 0
e 29 41 0
e 29 42 0
e 29 43 0
e 29 44 0
e 29 45 0
e 29 46 0
e 30 32 0
e 30 33 0
e 30 34 0
e 30 35 0
e 30 36 0
e 30 38 0
e 30 39 0
e 30 40 0
e 30 41 0
e 30 43 0
e 30 44 0
e 30 45 0
e 30 46 0
e 30 47 0
e 31 32 0
e 31 34 0
e 31 35 0
e 31 37 0
e 31 38 0
e 31 40 0
e 31 41 0
e 31 42 0
e 31 43 0
e 31 44 0
e 31 45 0
e 31 46 0
e 31 51 0
e 32 33 0
e 32 34 0
e 32 35 0
e 32 37 0
e 32 38 0
e 32 39 0
e 32 40 0
e 32 42 0
e 32 43 0
e 32 44 0
e 32 45 0
e 32 46 0
e 33 34 0
e 33 35 0
e 33 39 0
e 33 40 0
e 33 41 0
e 33 42 0
e 33 44 0
e 33 45 0
e 33 46 0
e 34 36 0
e 34 38 0
e 34 39 0
e 34 40 0
e 34 41 0
e 34 42 0
e 34 43 0
e 34 44 0
e 34 45 0
e 35 36 0
e 35 37 0
e 35 38 0
e 35 39 0
e 35 40 0
e 35 41 0
e 35 42 0
e 35 43 0
e 35 44 0
e 35 45 0
e 35 46 0
e 35 57 0
e 36 39 0
e 36 40 0
e 36 41 0
e 36 43 0
e 36 44 0
e 36 45 0
e 36 46 0
e 37 38 0
e 37 39 0
e 37 40 0
e 37 41 0
e 37 42 0
e 37 43 0
e 37 44 0
e 37 45 0
e 37 46 0
e 37 52 0
e 38 40 0
e 38 43 0
e 38 44 0
e 38 45 0
e 38 46 0
e 39 40 0
e 39 41 0
e 39 42 0
e 39 43 0
e 39 44 0
e 39 45 0
e 39 46 0
e 40 41 0
e 40 42 0
e 40 43 0
e 40 44 0
e 40 45 0
e 40 46 0
e 40 54 0
e 41 42 0
e 41 43 0
e 41 44 0
e 41 46 0
e 42 43 0
e 42 44 0
e 42 45 0
e 42 46 0
e 43 44 0
e 43 45 0
e 43 46 0
e 43 58 0
e 44 45 0
e 44 46 0
e 45 46 0
e 46 54 0
e 47 48 0
e 47 49 0
e 47 50 0
e 47 51 0
e 47 52 0
e 48 49 0
e 48 50 0
e 48 51 0
e 48 52 0
e 48 53 0
e 49 50 0
e 49 51 0
e 49 52 0
e 49 53 0
e 50 53 0
e 50 54 0
e 51 52 0
e 51 53 0
e 51 54 0
e 52 53 0
e 52 54 0
e 53 54 0
e 54 56 0
e 55 56 0
e 55 58 0
e 55 59 0
e 55 60 0
e 55 61 0
e 56 58 0
e 56 59 0
e 56 60 0
e 56 61 0
e 57 58 0
e 57 59 0
e 57 60 0
e 57 61 0
e 58 59 0
e 58 61 0
e 59 60 0
e 59 61 0
e 60 61 0
t # 2
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
v 35 0
v 36 0
e 0 1 0
e 0 2 0
e 0 3 0
e 0 4 0
e 0 5 0
e 0 7 0
e 0 8 0
e 0 32 0
e 1 3 0
e 1 5 0
e 1 6 0
e 1 7 0
e 1 8 0
e 1 9 0
e 2 4 0
e 2 5 0
e 2 6 0
e 2 7 0
e 2 8 0
e 3 4 0
e 3 6 0
e 3 7 0
e 3 8 0
e 4 5 0
e 4 6 0
e 4 7 0
e 4 8 0
e 5 7 0
e 5 8 0
e 6 7 0
e 6 8 0
e 6 10 0
e 6 23 0
e 6 32 0
e 7 8 0
e 7 35 0
e 8 18 0
e 8 25 0
e 9 10 0
e 9 12 0
e 9 13 0
e 9 14 0
e 9 15 0
e 9 16 0
e 9 17 0
e 9 18 0
e 9 19 0
e 9 20 0
e 9 21 0
e 9 24 0
e 9 28 0
e 9 34 0
e 9 35 0
e 10 11 0
e 10 12 0
e 10 13 0
e 10 15 0
e 10 16 0
e 10 17 0
e 10 18 0
e 10 19 0
e 10 20 0
e 10 21 0
e 11 13 0
e 11 14 0
e 11 15 0
e 11 16 0
e 11 17 0
e 11 18 0
e 11 19 0
e 11 20 0
e 11 21 0
e 12 13 0
e 12 14 0
e 12 16 0
e 12 17 0
e 12 18 0
e 12 19 0
e 12 20 0
e 12 21 0
e 13 14 0
e 13 16 0
e 13 17 0
e 13 18 0
e 13 19 0
e 13 20 0
e 13 21 0
e 13 32 0
e 14 15 0
e 14 16 0
e 14 17 0
e 14 19 0
e 14 20 0
e 14 21 0
e 15 16 0
e 15 17 0
e 15 18 0
e 15 19 0
e 15 20 0
e 15 21 0
e 15 35 0
e 16 17 0
e 16 18 0
e 16 19 0
e 16 20 0
e 16 21 0
e 17 18 0
e 17 19 0
e 17 20 0
e 17 21 0
e 17 22 0
e 18 19 0
e 18 20 0
e 18 21 0
e 18 29 0
e 18 32 0
e 19 20 0
e 19 21 0
e 20 21 0
e 21 22 0
e 21 24 0
e 22 23 0
e 22 24 0
e 22 25 0
e 22 26 0
e 22 27 0
e 22 28 0
e 23 24 0
e 23 26 0
e 23 27 0
e 23 28 0
e 24 26 0
e 24 27 0
e 24 28 0
e 25 26 0
e 25 27 0
e 25 28 0
e 26 27 0
e 26 34 0
e 27 28 0
e 27 33 0
e 29 30 0
e 29 31 0
e 29 32 0
e 29 33 0
e 29 34 0
e 29 35 0
e 29 36 0
e 30 31 0
e 30 32 0
e 30 33 0
e 30 34 0
e 30 36 0
e 31 32 0
e 31 33 0
e 31 34 0
e 31 35 0
e 31 36 0
e 32 33 0
e 32 34 0
e 32 35 0
e 32 36 0
e 33 34 0
e 33 35 0
e 33 36 0
e 34 35 0
e 35 36 0
t # 3
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
v 35 0
v 36 0
v 37 0
v 38 0
v 39 0
v 40 0
v 41 0
v 42 0
v 43 0
v 44 0
v 45 0
e 0 1 0
e 0 4 0
e 0 5 0
e 0 6 0
e 0 9 0
e 0 10 0
e 1 2 0
e 1 3 0
e 1 4 0
e 1 7 0
e 1 8 0
e 1 9 0
e 1 10 0
e 1 40 0
e 1 44 0
e 2 4 0
e 2 5 0
e 2 8 0
e 2 9 0
e 2 23 0
e 2 38 0
e 2 44 0
e 3 5 0
e 3 6 0
e 3 7 0
e 3 8 0
e 3 9 0
e 3 10 0
e 3 20 0
e 3 31 0
e 4 5 0
e 4 7 0
e 4 9 0
e 4 39 0
e 5 6 0
e 5 7 0
e 5 8 0
e 5 10 0
e 6 7 0
e 6 8 0
e 6 10 0
e 6 16 0
e 6 33 0
e 6 41 0
e 7 8 0
e 7 9 0
e 7 10 0
e 7 27 0
e 7 32 0
e 8 10 0
e 8 16 0
e 9 10 0
e 9 29 0
e 10 27 0
e 10 43 0
e 11 14 0
e 11 15 0
e 11 16 0
e 11 17 0
e 11 18 0
e 11 19 0
e 11 29 0
e 12 13 0
e 12 14 0
e 12 16 0
e 12 18 0
e 12 27 0
e 13 14 0
e 13 15 0
e 13 16 0
e 13 17 0
e 13 18 0
e 13 19 0
e 13 31 0
e 14 15 0
e 14 16 0
e 14 17 0
e 14 18 0
e 14 19 0
e 15 16 0
e 15 17 0
e 15 19 0
e 15 28 0
e 15 44 0
e 16 17 0
e 16 18 0
e 16 19 0
e 16 20 0
e 16 41 0
e 17 18 0
e 17 19 0
e 18 19 0
e 19 32 0
e 20 21 0
e 20 22 0
e 20 24 0
e 20 26 0
e 20 27 0
e 20 28 0
e 20 29 0
e 20 31 0
e 20 32 0
e 21 23 0
e 21 24 0
e 21 25 0
e 21 26 0
e 21 28 0
e 21 29 0
e 21 30 0
e 21 31 0
e 22 23 0
e 22 24 0
e 22 25 0
e 22 26 0
e 22 27 0
e 22 28 0
e 22 29 0
e 22 30 0
e 22 31 0
e 22 32 0
e 22 43 0
e 23 24 0
e 23 26 0
e 23 27 0
e 23 28 0
e 23 29 0
e 23 30 0
e 23 32 0
e 23 44 0
e 24 25 0
e 24 26 0
e 24 27 0
e 24 28 0
e 24 30 0
e 24 31 0
e 24 32 0
e 25 26 0
e 25 27 0
e 25 28 0
e 25 30 0
e 25 32 0
e 26 29 0
e 26 32 0
e 27 28 0
e 27 29 0
e 27 30 0
e 27 31 0
e 27 32 0
e 28 29 0
e 28 31 0
e 28 32 0
e 29 30 0
e 29 31 0
e 29 32 0
e 29 42 0
e 30 31 0
e 30 32 0
e 31 32 0
e 33 34 0
e 33 35 0
e 33 37 0
e 33 38 0
e 33 39 0
e 33 40 0
e 33 41 0
e 33 42 0
e 33 44 0
e 33 45 0
e 34 35 0
e 34 38 0
e 34 39 0
e 34 41 0
e 34 42 0
e 34 44 0
e 34 45 0
e 35 36 0
e 35 37 0
e 35 38 0
e 35 39 0
e 35 40 0
e 35 41 0
e 35 42 0
e 35 43 0
e 35 44 0
e 35 45 0
e 36 39 0
e 36 40 0
e 36 41 0
e 36 42 0
e 36 43 0
e 36 44 0
e 36 45 0
e 37 38 0
e 37 39 0
e 37 40 0
e 37 41 0
e 37 42 0
e 37 43 0
e 37 44 0
e 37 45 0
e 38 39 0
e 38 40 0
e 38 41 0
e 38 42 0
e 38 43 0
e 38 44 0
e 38 45 0
e 39 40 0
e 39 41 0
e 39 42 0
e 39 43 0
e 39 44 0
e 39 45 0
e 40 42 0
e 40 44 0
e 40 45 0
e 41 42 0
e 41 44 0
e 41 45 0
e 42 43 0
e 42 44 0
e 42 45 0
e 43 44 0
e 44 45 0
t # 4
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
e 0 1 0
e 0 2 0
e 0 3 0
e 0 4 0
e 0 5 0
e 0 6 0
e 0 7 0
e 0 8 0
e 0 9 0
e 0 11 0
e 0 12 0
e 0 13 0
e 0 14 0
e 0 15 0
e 0 16 0
e 0 17 0
e 0 18 0
e 0 19 0
e 1 2 0
e 1 3 0
e 1 4 0
e 1 5 0
e 1 6 0
e 1 7 0
e 1 8 0
e 1 9 0
e 1 10 0
e 1 11 0
e 1 12 0
e 1 13 0
e 1 14 0
e 1 15 0
e 1 16 0
e 1 17 0
e 1 18 0
e 1 22 0
e 2 3 0
e 2 4 0
e 2 5 0
e 2 6 0
e 2 7 0
e 2 8 0
e 2 9 0
e 2 10 0
e 2 11 0
e 2 12 0
e 2 13 0
e 2 14 0
e 2 15 0
e 2 16 0
e 2 17 0
e 2 18 0
e 2 19 0
e 3 4 0
e 3 5 0
e 3 6 0
e 3 7 0
e 3 8 0
e 3 9 0
e 3 10 0
e 3 11 0
e 3 12 0
e 3 13 0
e 3 14 0
e 3 15 0
e 3 16 0
e 3 17 0
e 3 18 0
e 3 19 0
e 3 30 0
e 4 5 0
e 4 6 0
e 4 7 0
e 4 8 0
e 4 9 0
e 4 10 0
e 4 11 0
e 4 12 0
e 4 13 0
e 4 14 0
e 4 15 0
e 4 18 0
e 4 31 0
e 5 6 0
e 5 7 0
e 5 8 0
e 5 9 0
e 5 10 0
e 5 11 0
e 5 13 0
e 5 14 0
e 5 15 0
e 5 16 0
e 5 17 0
e 5 18 0
e 5 19 0
e 5 29 0
e 6 7 0
e 6 9 0
e 6 10 0
e 6 11 0
e 6 12 0
e 6 13 0
e 6 14 0
e 6 15 0
e 6 17 0
e 6 18 0
e 6 19 0
e 7 8 0
e 7 9 0
e 7 10 0
e 7 11 0
e 7 12 0
e 7 14 0
e 7 15 0
e 7 16 0
e 7 17 0
e 7 18 0
e 7 24 0
e 8 9 0
e 8 11 0
e 8 12 0
e 8 14 0
e 8 15 0
e 8 16 0
e 8 17 0
e 8 18 0
e 9 10 0
e 9 11 0
e 9 12 0
e 9 13 0
e 9 14 0
e 9 15 0
e 9 16 0
e 9 17 0
e 9 18 0
e 9 19 0
e 9 29 0
e 9 30 0
e 10 11 0
e 10 12 0
e 10 13 0
e 10 14 0
e 10 15 0
e 10 16 0
e 10 18 0
e 10 19 0
e 11 14 0
e 11 15 0
e 11 17 0
e 11 18 0
e 12 13 0
e 12 14 0
e 12 15 0
e 12 16 0
e 12 17 0
e 12 19 0
e 13 14 0
e 13 15 0
e 13 16 0
e 13 17 0
e 13 18 0
e 13 19 0
e 14 15 0
e 14 16 0
e 14 18 0
e 14 19 0
e 14 27 0
e 14 33 0
e 15 17 0
e 15 18 0
e 15 19 0
e 15 23 0
e 15 29 0
e 15 32 0
e 16 17 0
e 16 18 0
e 16 19 0
e 17 19 0
e 17 28 0
e 18 19 0
e 18 32 0
e 20 21 0
e 20 22 0
e 20 25 0
e 20 26 0
e 20 27 0
e 20 29 0
e 20 30 0
e 20 31 0
e 20 33 0
e 20 34 0
e 21 22 0
e 21 23 0
e 21 24 0
e 21 25 0
e 21 26 0
e 21 27 0
e 21 29 0
e 21 30 0
e 21 31 0
e 21 32 0
e 21 33 0
e 22 24 0
e 22 25 0
e 22 26 0
e 22 27 0
e 22 31 0
e 22 32 0
e 22 33 0
e 22 34 0
e 23 24 0
e 23 25 0
e 23 26 0
e 23 28 0
e 23 29 0
e 23 30 0
e 23 31 0
e 23 33 0
e 23 34 0
e 24 27 0
e 24 29 0
e 24 30 0
e 24 31 0
e 24 32 0
e 24 33 0
e 24 34 0
e 25 26 0
e 25 27 0
e 25 28 0
e 25 29 0
e 25 30 0
e 25 31 0
e 25 32 0
e 25 33 0
e 25 34 0
e 26 27 0
e 26 29 0
e 26 30 0
e 26 31 0
e 26 32 0
e 26 33 0
e 27 28 0
e 27 29 0
e 27 31 0
e 27 32 0
e 27 33 0
e 27 34 0
e 28 29 0
e 28 30 0
e 28 31 0
e 28 32 0
e 28 33 0
e 28 34 0
e 29 30 0
e 29 31 0
e 29 32 0
e 29 33 0
e 29 34 0
e 30 31 0
e 30 32 0
e 30 33 0
e 30 34 0
e 31 32 0
e 31 33 0
e 31 34 0
e 32 33 0
e 32 34 0
e 33 34 0
t # 5
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
e 0 2 0
e 0 3 0
e 0 4 0
e 0 6 0
e 0 7 0
e 0 8 0
e 0 10 0
e 0 16 0
e 1 4 0
e 1 6 0
e 1 8 0
e 1 9 0
e 1 10 0
e 1 29 0
e 2 3 0
e 2 7 0
e 2 8 0
e 2 9 0
e 2 11 0
e 2 24 0
e 3 5 0
e 3 7 0
e 3 8 0
e 3 11 0
e 3 19 0
e 4 5 0
e 4 6 0
e 4 8 0
e 4 9 0
e 4 10 0
e 4 11 0
e 5 6 0
e 5 8 0
e 5 10 0
e 6 7 0
e 6 10 0
e 6 17 0
e 7 10 0
e 7 11 0
e 7 19 0
e 7 23 0
e 8 9 0
e 8 10 0
e 8 11 0
e 9 10 0
e 9 17 0
e 10 19 0
e 10 20 0
e 10 26 0
e 10 28 0
e 11 12 0
e 12 13 0
e 12 14 0
e 12 15 0
e 12 17 0
e 12 20 0
e 12 22 0
e 12 25 0
e 12 26 0
e 12 27 0
e 12 29 0
e 12 30 0
e 13 14 0
e 13 15 0
e 13 21 0
e 13 22 0
e 13 23 0
e 13 24 0
e 13 25 0
e 13 26 0
e 13 28 0
e 13 31 0
e 14 15 0
e 14 16 0
e 14 17 0
e 14 19 0
e 14 20 0
e 14 21 0
e 14 23 0
e 14 24 0
e 14 26 0
e 14 27 0
e 14 28 0
e 14 29 0
e 14 31 0
e 15 17 0
e 15 18 0
e 15 20 0
e 15 21 0
e 15 22 0
e 15 23 0
e 15 24 0
e 15 25 0
e 15 28 0
e 15 31 0
e 16 17 0
e 16 18 0
e 16 20 0
e 16 21 0
e 16 22 0
e 16 23 0
e 16 24 0
e 16 25 0
e 16 26 0
e 16 28 0
e 16 29 0
e 16 31 0
e 17 18 0
e 17 22 0
e 17 23 0
e 17 24 0
e 17 31 0
e 18 19 0
e 18 20 0
e 18 21 0
e 18 22 0
e 18 23 0
e 18 24 0
e 18 26 0
e 18 27 0
e 18 31 0
e 19 20 0
e 19 21 0
e 19 27 0
e 19 29 0
e 19 30 0
e 19 31 0
e 20 21 0
e 20 24 0
e 20 25 0
e 20 29 0
e 20 31 0
e 21 22 0
e 21 23 0
e 21 24 0
e 21 27 0
e 21 28 0
e 22 25 0
e 22 27 0
e 22 28 0
e 22 29 0
e 22 31 0
e 23 25 0
e 23 28 0
e 23 30 0
e 23 31 0
e 24 28 0
e 24 29 0
e 24 31 0
e 25 26 0
e 25 27 0
e 25 29 0
e 25 30 0
e 25 31 0
e 26 28 0
e 26 31 0
e 27 28 0
e 27 29 0
e 27 30 0
e 28 29 0
e 29 30 0
e 30 31 0
t # 6
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
v 35 0
v 36 0
v 37 0
v 38 0
v 39 0
v 40 0
v 41 0
v 42 0
v 43 0
v 44 0
v 45 0
v 46 0
v 47 0
v 48 0
v 49 0
v 50 0
e 0 1 0
e 0 2 0
e 0 3 0
e 0 8 0
e 0 9 0
e 0 11 0
e 0 13 0
e 0 14 0
e 0 15 0
e 0 17 0
e 1 2 0
e 1 3 0
e 1 4 0
e 1 5 0
e 1 6 0
e 1 7 0
e 1 8 0
e 1 9 0
e 1 10 0
e 1 11 0
e 1 12 0
e 1 13 0
e 1 14 0
e 1 15 0
e 1 17 0
e 2 5 0
e 2 6 0
e 2 9 0
e 2 10 0
e 2 12 0
e 2 13 0
e 2 15 0
e 2 16 0
e 2 17 0
e 3 4 0
e 3 5 0
e 3 7 0
e 3 8 0
e 3 9 0
e 3 11 0
e 3 12 0
e 3 13 0
e 3 15 0
e 3 16 0
e 3 17 0
e 4 5 0
e 4 7 0
e 4 9 0
e 4 10 0
e 4 11 0
e 4 14 0
e 4 15 0
e 4 16 0
e 4 17 0
e 4 36 0
e 5 6 0
e 5 10 0
e 5 11 0
e 5 12 0
e 5 14 0
e 5 15 0
e 5 16 0
e 5 17 0
e 6 7 0
e 6 8 0
e 6 9 0
e 6 11 0
e 6 12 0
e 6 13 0
e 6 14 0
e 7 8 0
e 7 11 0
e 7 12 0
e 7 13 0
e 7 14 0
e 7 16 0
e 7 17 0
e 7 20 0
e 7 36 0
e 8 10 0
e 8 13 0
e 8 14 0
e 8 16 0
e 8 17 0
e 8 28 0
e 9 10 0
e 9 11 0
e 9 12 0
e 9 13 0
e 9 15 0
e 9 16 0
e 9 17 0
e 10 11 0
e 10 12 0
e 10 13 0
e 10 14 0
e 10 16 0
e 10 17 0
e 11 12 0
e 11 13 0
e 11 14 0
e 11 17 0
e 12 13 0
e 12 14 0
e 12 15 0
e 12 16 0
e 12 17 0
e 13 14 0
e 13 15 0
e 13 16 0
e 13 17 0
e 13 42 0
e 14 15 0
e 14 16 0
e 14 17 0
e 14 19 0
e 14 40 0
e 14 47 0
e 15 16 0
e 15 17 0
e 16 17 0
e 16 34 0
e 18 19 0
e 18 20 0
e 18 21 0
e 18 23 0
e 18 25 0
e 18 26 0
e 18 27 0
e 18 28 0
e 18 29 0
e 18 30 0
e 18 31 0
e 18 32 0
e 18 33 0
e 19 20 0
e 19 21 0
e 19 22 0
e 19 25 0
e 19 26 0
e 19 27 0
e 19 29 0
e 19 30 0
e 19 31 0
e 20 21 0
e 20 22 0
e 20 23 0
e 20 25 0
e 20 27 0
e 20 29 0
e 20 31 0
e 20 32 0
e 21 22 0
e 21 24 0
e 21 25 0
e 21 26 0
e 21 27 0
e 21 28 0
e 21 29 0
e 21 30 0
e 21 31 0
e 21 32 0
e 21 33 0
e 22 23 0
e 22 24 0
e 22 25 0
e 22 26 0
e 22 27 0
e 22 28 0
e 22 29 0
e 22 31 0
e 22 32 0
e 22 33 0
e 23 24 0
e 23 27 0
e 23 28 0
e 23 29 0
e 23 30 0
e 23 31 0
e 23 32 0
e 23 33 0
e 23 43 0
e 24 25 0
e 24 26 0
e 24 27 0
e 24 29 0
e 24 30 0
e 24 31 0
e 24 32 0
e 24 33 0
e 25 26 0
e 25 27 0
e 25 28 0
e 25 29 0
e 25 30 0
e 25 31 0
e 25 32 0
e 25 33 0
e 25 48 0
e 26 27 0
e 26 28 0
e 26 29 0
e 26 30 0
e 26 31 0
e 26 32 0
e 27 28 0
e 27 29 0
e 27 30 0
e 27 33 0
e 28 29 0
e 28 31 0
e 28 32 0
e 28 46 0
e 29 30 0
e 29 31 0
e 29 32 0
e 29 33 0
e 30 31 0
e 30 33 0
e 31 33 0
e 32 33 0
e 34 36 0
e 34 38 0
e 34 39 0
e 34 40 0
e 34 43 0
e 34 44 0
e 34 45 0
e 34 46 0
e 34 48 0
e 34 49 0
e 34 50 0
e 35 38 0
e 35 39 0
e 35 40 0
e 35 41 0
e 35 42 0
e 35 43 0
e 35 44 0
e 35 45 0
e 35 46 0
e 35 50 0
e 36 37 0
e 36 38 0
e 36 39 0
e 36 40 0
e 36 43 0
e 36 47 0
e 36 48 0
e 36 49 0
e 36 50 0
e 37 39 0
e 37 41 0
e 37 43 0
e 37 44 0
e 37 45 0
e 37 47 0
e 37 48 0
e 37 49 0
e 37 50 0
e 38 39 0
e 38 41 0
e 38 42 0
e 38 43 0
e 38 45 0
e 38 47 0
e 38 48 0
e 38 49 0
e 38 50 0
e 39 40 0
e 39 41 0
e 39 42 0
